"subject" "session" "orLarge" "orSmall" "task" "rt" "response" "vertical"
"361" 1 2 "Bottom" -0.5 "comp" 0.905526726007 0 TRUE
"362" 1 2 "Bottom" -1 "comp" 0.85847981593 0 TRUE
"363" 1 2 "Bottom" 2 "comp" 0.893796619641 1 TRUE
"364" 1 2 "Left" -2 "comp" 0.882038150059 1 FALSE
"365" 1 2 "Right" 0 "comp" 1.01139971322 0 FALSE
"366" 1 2 "Bottom" 0 "comp" 1.64639501605 0 TRUE
"367" 1 2 "Top" 0.5 "equ" 1.30538215026 0 TRUE
"368" 1 2 "Bottom" 1.5 "equ" 0.729191460525 0 TRUE
"369" 1 2 "Top" -1.5 "equ" 0.917272930415 0 TRUE
"370" 1 2 "Top" -1.5 "equ" 1.21132857521 0 TRUE
"371" 1 2 "Bottom" -2 "comp" 0.787972309835 0 TRUE
"372" 1 2 "Right" -1 "comp" 0.764425857595 0 FALSE
"373" 1 2 "Right" 2 "comp" 0.811449003895 1 FALSE
"374" 1 2 "Bottom" 0.5 "equ" 0.905531325448 0 TRUE
"375" 1 2 "Bottom" 0.5 "equ" 0.55269483134 1 TRUE
"376" 1 2 "Right" 0 "comp" 1.01143574218 0 FALSE
"377" 1 2 "Right" 0.5 "equ" 0.870273547889 1 FALSE
"378" 1 2 "Right" 2 "equ" 0.91732122454 0 FALSE
"379" 1 2 "Left" 0 "equ" 1.02314898393 1 FALSE
"380" 1 2 "Bottom" -1.5 "equ" 0.964409912867 0 TRUE
"381" 1 2 "Bottom" 0.5 "comp" 1.43477131007 1 TRUE
"382" 1 2 "Top" -1.5 "comp" 0.823195591589 0 TRUE
"383" 1 2 "Left" 0.5 "comp" 1.08193596582 0 FALSE
"384" 1 2 "Top" 0.5 "comp" 0.940819382655 1 TRUE
"385" 1 2 "Top" 1 "comp" 0.623302375266 1 TRUE
"386" 1 2 "Top" -1 "comp" 0.7761605634 0 TRUE
"387" 1 2 "Left" 0 "comp" 1.03495306463 0 FALSE
"388" 1 2 "Right" -0.5 "comp" 0.870232536212 0 FALSE
"389" 1 2 "Top" 0.5 "equ" 0.905553556077 1 TRUE
